objectid,centroid_lon,centroid_lat
1,-74.17400027276304,40.691831206401325
2,-73.83129854302213,40.61674529165957
3,-73.84742223236718,40.86447368477527
4,-73.97696825691759,40.72375214158459
5,-74.18848410184935,40.55265928694546
6,-74.07177055895134,40.600324146034424
7,-73.91969431946075,40.7614925621636
8,-73.9230861575075,40.778558653750515
9,-73.7879488777789,40.75103502557218
24,-73.96547951516966,40.801970493899425
10,-73.79098635986959,40.678953310115105
11,-74.00748815801177,40.60427284003062
12,-74.01556351255894,40.70294583498452
13,-74.01607915192938,40.71203815707432
18,-73.89018328872038,40.86768245607527
25,-73.98611382213656,40.68563374132041
14,-74.02989237418787,40.62483492360799
15,-73.78597227877704,40.783333047260825
22,-73.99525857986232,40.61221825780545
23,-74.17088688155253,40.60644770102735
16,-73.77342181890143,40.762738375442225
17,-73.9499050350751,40.69150749488049
19,-73.72665537528698,40.73548677976318
20,-73.88586748106964,40.85777967544136
21,-73.98353709672229,40.60142943983495
26,-73.98866123078287,40.63094965524526
27,-73.90690832237571,40.5591332794673
28,-73.80872901637508,40.71159635794484
33,-73.99525011996629,40.695798221211106
29,-73.96121676866845,40.580921971933584
31,-73.87547595053037,40.85774668091573
32,-73.86490099876723,40.86400220602343
30,-73.82192695679392,40.603687442135325
34,-73.97118869233043,40.70085573851691
35,-73.91025783136135,40.664003117925766
36,-73.91771053131578,40.700522199519
37,-73.92224002165723,40.69499431844193
38,-73.73555427058828,40.69434146723156
39,-73.89973495669389,40.63803713911685
40,-73.99595619089156,40.6791990140969
41,-73.95129200243512,40.80433394979442
45,-73.99815149899052,40.71245931177932
46,-73.78198714613215,40.84908594313943
42,-73.94077166756259,40.818257861119044
43,-73.96555356545908,40.78247809974769
44,-74.23353354937646,40.525494581763574
47,-73.90031590586496,40.842749176097854
48,-73.989844643133,40.76225275531919
49,-73.96236353818352,40.687967457147245
50,-73.9951352207551,40.766237725041655
51,-73.82826367307182,40.873973054920086
52,-73.99672403175194,40.68665124165588
53,-73.84281349543171,40.780912355790896
54,-74.00291127745284,40.68720074733709
55,-73.98794343407188,40.576960753637564
56,-73.85884524944,40.74140677482956
57,-73.85358156034263,40.751819366999264
58,-73.82039319252782,40.84145210068231
59,-73.89498588493974,40.83855028852771
60,-73.88590003419164,40.83399047727372
61,-73.93928705867955,40.67446941826625
62,-73.94878853931498,40.666540405785405
63,-73.87817261050249,40.68383976195084
64,-73.7393371499285,40.76061560532138
65,-73.98608600498395,40.695337529460986
72,-73.92225097400487,40.65236480407718
66,-73.98570161582278,40.7022589388223
67,-74.01380148744013,40.619619467834944
68,-73.99991742024714,40.74842755506554
73,-73.80729418212232,40.75410888689277
